Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5168118,2017-09-07 15:28:10,2017-01-27 10:37:53,18986053,2000665332,18063305,105,1196,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/168/SRR5168118/SRR5168118.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,009BDC5731F82F823EB190004D337494,F5632A2AEA3B7C6CC03E7AB186A8607E
SRR5168119,2017-09-07 15:28:10,2017-01-27 12:53:31,18016902,1897345026,17119117,105,1126,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/168/SRR5168119.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,7C82FA8203CDB64DA13A12865DBCFFE4,1896EB535112B54F9CDC11F226F162F5
SRR5168120,2017-09-07 15:28:10,2017-01-27 12:42:39,18029839,1898614458,17129688,105,1123,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/168/SRR5168120/SRR5168120.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,692950A75159DBA51DA12F6AD25AF26D,DC93FF0D5B1B8927ECA1FB67BB9F2EE0
SRR5168121,2017-09-07 15:28:10,2017-01-27 12:42:11,18210626,1917563382,17299807,105,1140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/168/SRR5168121/SRR5168121.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,5A4EA7F495433A13446BF5A9F54A6AF3,59BE742BD36249522B89C4CAA8F2D905
SRR5168122,2017-09-07 15:28:10,2017-01-27 12:41:52,18161516,1911930966,17244613,105,1145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/168/SRR5168122/SRR5168122.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,1951DAAC3A64DA1AC75B3D37409617FC,E31D5D39CEBC093C62B925BEE4392079
SRR5168123,2017-09-07 15:28:10,2017-01-27 12:41:24,18047760,1900913508,17154342,105,1123,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/168/SRR5168123.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,36F9761BBBC0D0E33161AC59EDDB91A1,7B536A4AA099B4D4F00E7FE6932DB117
SRR5168124,2017-09-07 15:28:10,2017-01-27 12:42:39,19074524,1893300846,18049022,99,1097,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/168/SRR5168124.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,5E0192526F4BBB53F656220B42CCB145,1DA9D5CF091BDAD3207DCE008D341BD5
SRR5168125,2017-09-07 15:28:10,2017-01-27 12:41:36,18156614,1913783058,17283813,105,1133,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/168/SRR5168125/SRR5168125.sralite.1,SRX2485040,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915320,SAMN06217804,simple,10090,Mus musculus,GSM2453279,,,,,,,no,,,,,GEO,SRA526507,,public,E78F08B857310E2BAD3EFF7D8CE74CD8,03709AD5114609444AAE1381FB159F43
SRR5168126,2017-09-07 15:28:11,2017-01-27 12:41:23,15630298,1646214192,14855150,105,995,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/168/SRR5168126.sralite.1,SRX2485041,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915321,SAMN06217803,simple,10090,Mus musculus,GSM2453280,,,,,,,no,,,,,GEO,SRA526507,,public,00CC8B110F5C5B28B6AADFDF8208A668,221D3B97D15E4FBA869C8C5A33ABB31C
SRR5168127,2017-09-07 15:28:11,2017-01-27 12:41:10,14801469,1558021068,14050773,105,934,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/168/SRR5168127.sralite.1,SRX2485041,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915321,SAMN06217803,simple,10090,Mus musculus,GSM2453280,,,,,,,no,,,,,GEO,SRA526507,,public,EB24868B6BDFA74347DE459B38A7D1D6,75469F584F573F21C85744EB16E80DD1
SRR5168128,2017-09-07 15:28:11,2017-01-27 12:40:39,14832199,1561644252,14087139,105,936,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/168/SRR5168128.sralite.1,SRX2485041,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915321,SAMN06217803,simple,10090,Mus musculus,GSM2453280,,,,,,,no,,,,,GEO,SRA526507,,public,21D79130C2D5004B44220A16B9F86DDE,9AEBEDE064E57BC7D376B5AD0394C9B9
SRR5168129,2017-09-07 15:28:11,2017-01-27 12:42:44,15030848,1582194546,14269051,105,951,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/168/SRR5168129.sralite.1,SRX2485041,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915321,SAMN06217803,simple,10090,Mus musculus,GSM2453280,,,,,,,no,,,,,GEO,SRA526507,,public,6F483C40385F1D94AC831F18EE5B4393,CEF8B09885B7C6A8E8BA8DB3BEA38C52
SRR5168130,2017-09-07 15:28:11,2017-01-27 12:42:25,14941354,1571318676,14157140,105,951,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/168/SRR5168130/SRR5168130.sralite.1,SRX2485041,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP096571,PRJNA360958,2,360958,SRS1915321,SAMN06217803,simple,10090,Mus musculus,GSM2453280,,,,,,,no,,,,,GEO,SRA526507,,public,4FD6DE2DF76989172254FB264A918D1F,35C4B052857476CCE6AE1FD8BACE2190
